Open,High,Low,Close,Volume
89.83,91.55,89.02,89.7,20738457
91.01,91.24,87.8,88.71,27046483
88.07,88.21,86.56,86.77,23136084
87.36,88.47,85.57,88.16,26612628
89.2,90.83,88.58,88.8,22996681
86.72,89.48,86.7,89.24,22855590
90.06,92.45,89.74,92.26,25998844
92.4,92.62,90.57,91.91,22754216
91.53,92.98,90.93,92.8,18630709
92.78,92.97,90.84,92.16,22935823
92.94,93.59,91.4,91.78,19641622
91.39,94.4,91.38,93.91,28707653
95.95,99.42,95.91,99.28,53704763
99.13,101.4,98.75,101.21,31791782
99.55,101.09,98.7,99.21,27391372
97.2,97.72,95.26,96.73,31000850
98.28,99.21,96.82,99.16,24542060
99.05,101.58,98.97,100.71,29020354
98.75,99.41,97.52,97.95,24365142
97.86,99.91,97.79,99.87,22306778
99.74,102.19,98.42,101.43,26392568
106.79,108.82,106.54,108.8,46622627
103.51,108.02,103.3,105.22,36823421
102.69,104.7,102.21,103.47,25573046
103.63,108.67,103.55,108.04,33738828
102.69,103.58,98.46,100,73546029
100.54,100.61,93.86,95.46,97798573
95.74,97.02,94.53,94.86,49325275
95.01,95.35,94.05,95,43116559
94.66,95.18,92.65,94.95,42513079
94.74,97.34,94.36,97.1,37029885
95.54,97.88,94.97,95.78,35642106
95.07,95.75,93.45,94.59,31095067
93.24,93.41,92,92.05,28367198
91.93,92.36,90.87,91.8,29891135
92.13,92.13,90.01,91.07,32423720
89.63,90.13,88.86,89.35,31295619
90.09,90.45,89.61,90.1,22724262
89.54,91.45,89.52,90.3,30546912
90.16,91.2,89.85,90.51,26323876
89.86,92.48,89.77,92.31,23344562
92.74,94.11,92.66,94.02,30242538
94.36,96.3,94.3,95.58,28288206
95.42,96.09,93.84,94.17,24101536
94.41,96.24,94.41,94.65,25395200
94.49,95.92,92.36,92.66,24438890
92.5,93.18,90.8,91.01,32850092
90.57,93.08,89.94,91.66,31508570
93.07,94.83,92.78,94.25,32303881
93.54,97.25,93.04,96.55,38367334
96.57,101.97,95.87,101.07,54588200
100.84,103.49,100.75,102.46,76140310
101.06,102.58,100.79,101.93,26033916
101.98,105.96,101.86,105.84,33122800
105.14,107.51,104.21,104.22,32336877
105.89,107.1,105.41,106.26,31385817
105.74,106.16,104.74,106.06,25245010
105.32,105.4,102.63,103.06,25393417
103,103,100.28,101.36,24913480
102.72,102.82,101.03,101.9,26148300
101.44,101.61,100.29,101.32,25009829
101.71,104.19,101.44,104,28107953
102.67,104.95,102.38,104.91,20719861
104.84,106.1,104.6,105.12,20377231
106.12,106.54,104.1,104.95,21864200
105.77,109.63,104.82,108.9,34684150
107.39,107.97,105.6,106.95,19741517
106.92,107.22,105.28,106.12,18721278
107.39,107.59,104.97,105.22,22761569
106.47,108.27,106.44,108.19,21650747
107.69,109.58,107.59,109.46,20758686
105.43,106.71,105.32,106.42,29043443
107,107.05,104.78,105.12,17641369
104.22,105.73,103.8,105.02,16732016
104.65,106.89,104.64,105.9,22515331
106.09,106.64,105.49,105.91,22379018
106.05,107.32,105.36,106.78,21410908
106.61,107.44,104.56,104.61,31408119
105.56,107.02,103.27,104.45,37068168
105.23,109.15,104.42,108.37,38235220
107.8,108.29,106.04,108.22,23957872
107.72,108.68,107.5,107.71,20926259
107.66,107.73,104.5,105.98,20343116
106.22,108.13,105.62,106.12,17116333
106.16,106.3,104.7,105.21,19780637
105.32,106.44,104.74,106.22,20710627
105.8,108.42,105.79,108.24,17266021
108.78,110.6,107.73,107.94,24782442
108.55,113.51,108.48,112.28,47533463
115.86,118.44,114.93,116.9,57115075
117,118.26,116.55,117.92,31293778
116.49,118.8,116.48,116.96,22107865
116.83,121.2,116.83,120.09,32370113
120.18,122.28,119.46,121.48,26659564
121.56,123.9,121.49,123.52,27014468
124.2,126.48,122.72,123.25,30268864
123.51,127.05,123.45,125.87,29760236
124.93,125.42,123.05,123.29,24477945
121.88,122.75,120.75,121.64,23087925
125.21,125.98,122.9,124.35,33812730
124.07,126,123.29,125.43,25169036
126.29,126.38,122.89,124.64,27230726
123.7,124.9,123.1,123.37,41548759
123.5,125.04,123.3,124.37,25017674
